country,cou_code,measure,2018,2019,2020,2021
IDA & IBRD total,IBT,"Population, total",6420905201,6496952025,6571053159,6642614110
IDA total,IDA,"Population, total",1633561540,1670692565,1708606728,1747318867
IDA blend,IDB,"Population, total",549127807,561571929,574159138,586883422
Indonesia,IDN,"Population, total",267670549,270625567,273523621,276361788
IDA only,IDX,"Population, total",1084433733,1109120636,1134447590,1160435445
Isle of Man,IMN,"Population, total",84073,84589,85032,85410
India,IND,"Population, total",1352642283,1366417756,1380004385,1393409033
Not classified,INX,"Population, total",,,,
Ireland,IRL,"Population, total",4867316,4934340,4985674,5028230
"Iran, Islamic Rep.",IRN,"Population, total",81800204,82913893,83992953,85028760
Iraq,IRQ,"Population, total",38433604,39309789,40222503,41179351
Iceland,ISL,"Population, total",352721,360563,366463,372295
Israel,ISR,"Population, total",8882800,9054000,9215100,9364000
Italy,ITA,"Population, total",60421760,59729081,59449527,59066225
Jamaica,JAM,"Population, total",2934853,2948277,2961161,2973462
Jordan,JOR,"Population, total",9965322,10101697,10203140,10269022
Japan,JPN,"Population, total",126811000,126633000,126261000,125681593
Kazakhstan,KAZ,"Population, total",18276452,18513673,18755666,19002586
Kenya,KEN,"Population, total",51392570,52573967,53771300,54985702
Kyrgyz Republic,KGZ,"Population, total",6322800,6456200,6579900,6694200
Cambodia,KHM,"Population, total",16249795,16486542,16718971,16946446
Kiribati,KIR,"Population, total",115842,117608,119446,121388
St. Kitts and Nevis,KNA,"Population, total",52438,52834,53192,53546
"Korea, Rep.",KOR,"Population, total",51585058,51764822,51836239,51744876
Kuwait,KWT,"Population, total",4137314,4207077,4270563,4328553
Latin America & Caribbean (excluding high income),LAC,"Population, total",579255220,585257302,590928198,596217644
Lao PDR,LAO,"Population, total",7061498,7169456,7275556,7379358
Lebanon,LBN,"Population, total",6859408,6855709,6825442,6769151
Liberia,LBR,"Population, total",4818976,4937374,5057677,5180208
Libya,LBY,"Population, total",6678565,6777453,6871287,6958538
St. Lucia,LCA,"Population, total",181890,182795,183629,184401
