Country Name,Country Code,Indicator Name,2017,2018,2019,2020,2021
"Egypt, Arab Rep.",EGY,GDP (current US$),2.36E+11,2.50E+11,3.03E+11,3.65E+11,4.04E+11
Euro area,EMU,GDP (current US$),1.27E+13,1.37E+13,1.34E+13,1.30E+13,1.45E+13
Eritrea,ERI,GDP (current US$),,,,,
Spain,ESP,GDP (current US$),1.31E+12,1.42E+12,1.39E+12,1.28E+12,1.43E+12
Estonia,EST,GDP (current US$),26924385103,30489500905,31045591753,30650285472,36262924354
Ethiopia,ETH,GDP (current US$),81770791971,84269348327,95912590628,1.08E+11,1.11E+11
European Union,EUU,GDP (current US$),1.48E+13,1.60E+13,1.57E+13,1.53E+13,1.71E+13
Fragile and conflict affected situations,FCS,GDP (current US$),1.64E+12,1.68E+12,1.79E+12,1.68E+12,1.80E+12
Finland,FIN,GDP (current US$),2.56E+11,2.76E+11,2.69E+11,2.72E+11,2.99E+11
Fiji,FJI,GDP (current US$),5353404422,5581371850,5496264766,4574413823,4592118710
France,FRA,GDP (current US$),2.60E+12,2.79E+12,2.73E+12,2.63E+12,2.94E+12
Faroe Islands,FRO,GDP (current US$),2969876872,3180074747,3268839776,3240759989,
"Micronesia, Fed. Sts.",FSM,GDP (current US$),366666800,401932300,412479413.4,407515928,404178049.8
Gabon,GAB,GDP (current US$),14929488771,16867325127,16874405840,15316824039,18269350434
United Kingdom,GBR,GDP (current US$),2.70E+12,2.90E+12,2.88E+12,2.76E+12,3.19E+12
Georgia,GEO,GDP (current US$),16242916916,17596922470,17470436259,15842922533,18700241392
Ghana,GHA,GDP (current US$),60406382899,67299280680,68337537816,70043199814,77594279055
Gibraltar,GIB,GDP (current US$),,,,,
Guinea,GIN,GDP (current US$),10324668267,11857030337,13442861444,14169626010,15850520384
"Gambia, The",GMB,GDP (current US$),1504909753,1670670669,1813608280,1830413000,2078070684
Guinea-Bissau,GNB,GDP (current US$),1350177128,1504630121,1439638443,1431758243,1638517533
Equatorial Guinea,GNQ,GDP (current US$),12200912828,13097011208,11364134109,10099157270,12269392789
Greece,GRC,GDP (current US$),2.00E+11,2.12E+11,2.05E+11,1.89E+11,2.16E+11
Grenada,GRD,GDP (current US$),1125685185,1166523556,1213485185,1043411111,1122083185
Greenland,GRL,GDP (current US$),2851610656,3055791341,2994332324,3075968329,
Guatemala,GTM,GDP (current US$),71654134379,73208583759,77020015201,77604632621,85986321551
Guam,GUM,GDP (current US$),6013000000,6060000000,6364000000,5844000000,
Guyana,GUY,GDP (current US$),4748174334,4787636237,5173760192,5471256595,7409179921
High income,HIC,GDP (current US$),5.16E+13,5.48E+13,5.53E+13,5.37E+13,5.94E+13
"Hong Kong SAR, China",HKG,GDP (current US$),3.41E+11,3.62E+11,3.63E+11,3.45E+11,3.68E+11
Honduras,HND,GDP (current US$),23136232230,24067778954,25089976947,23827840810,28488668302
Heavily indebted poor countries (HIPC),HPC,GDP (current US$),8.09E+11,7.70E+11,7.98E+11,8.03E+11,8.94E+11
Croatia,HRV,GDP (current US$),56214427431,62247874949,62246206341,57203783203,67837788544
Haiti,HTI,GDP (current US$),15035560373,16455034353,14785839383,14508218017,20944392615
Hungary,HUN,GDP (current US$),1.43E+11,1.61E+11,1.64E+11,1.57E+11,1.82E+11
IBRD only,IBD,GDP (current US$),2.88E+13,3.06E+13,3.12E+13,3.00E+13,3.55E+13
IDA & IBRD total,IBT,GDP (current US$),3.09E+13,3.28E+13,3.36E+13,3.24E+13,3.80E+13
IDA total,IDA,GDP (current US$),2.19E+12,2.24E+12,2.34E+12,2.33E+12,2.54E+12
IDA blend,IDB,GDP (current US$),9.60E+11,1.01E+12,1.04E+12,9.99E+11,1.09E+12
Indonesia,IDN,GDP (current US$),1.02E+12,1.04E+12,1.12E+12,1.06E+12,1.19E+12
IDA only,IDX,GDP (current US$),1.23E+12,1.23E+12,1.30E+12,1.33E+12,1.46E+12
Isle of Man,IMN,GDP (current US$),6979581725,7491969313,7315388052,,
India,IND,GDP (current US$),2.65E+12,2.70E+12,2.83E+12,2.67E+12,3.17E+12
Not classified,INX,GDP (current US$),,,,,
Ireland,IRL,GDP (current US$),3.35E+11,3.85E+11,3.99E+11,4.26E+11,4.99E+11
"Iran, Islamic Rep.",IRN,GDP (current US$),4.87E+11,3.31E+11,2.91E+11,2.32E+11,
Iraq,IRQ,GDP (current US$),1.87E+11,2.27E+11,2.34E+11,1.84E+11,2.08E+11
Iceland,ISL,GDP (current US$),24728285177,26267063758,24857740445,21718075725,25458933916
Israel,ISR,GDP (current US$),3.55E+11,3.74E+11,3.98E+11,4.07E+11,4.82E+11
Italy,ITA,GDP (current US$),1.96E+12,2.09E+12,2.01E+12,1.89E+12,2.10E+12
Jamaica,JAM,GDP (current US$),14808989993,15730793853,15830768550,13812425037,13638230996
Jordan,JOR,GDP (current US$),41408960845,42932112676,44502895915,43697659296,45243661972
Japan,JPN,GDP (current US$),4.93E+12,5.04E+12,5.12E+12,5.04E+12,4.94E+12
Kazakhstan,KAZ,GDP (current US$),1.67E+11,1.79E+11,1.82E+11,1.71E+11,1.91E+11
Kenya,KEN,GDP (current US$),82035800868,92202956321,1.00E+11,1.01E+11,1.10E+11
Kyrgyz Republic,KGZ,GDP (current US$),7702934800,8271108638,8871026074,7780874537,8543423503
Cambodia,KHM,GDP (current US$),22177200512,24571753583,27089389787,25872798012,26961061120
Kiribati,KIR,GDP (current US$),188192060.1,196230573.8,177935349.3,180911843.6,
St. Kitts and Nevis,KNA,GDP (current US$),1060638333,1078505889,1164877852,980905888.9,976150666.7
"Korea, Rep.",KOR,GDP (current US$),1.62E+12,1.72E+12,1.65E+12,1.64E+12,1.80E+12
Kuwait,KWT,GDP (current US$),1.21E+11,1.38E+11,1.36E+11,1.06E+11,
Latin America & Caribbean (excluding high income),LAC,GDP (current US$),4.99E+12,4.84E+12,4.78E+12,4.00E+12,4.61E+12
Lao PDR,LAO,GDP (current US$),17071162084,18141651381,18740559554,18981800705,18827148530
Lebanon,LBN,GDP (current US$),53027680686,54901519156,51605959131,25948915861,18076624840
Liberia,LBR,GDP (current US$),3390703400,3422754800,3319596500,3039982540,3486741370
Libya,LBY,GDP (current US$),67158415842,76684175824,69252306372,52320215472,41879579677
St. Lucia,LCA,GDP (current US$),1996771441,2065127263,2118791548,1616772748,1764901133
Latin America & Caribbean,LCN,GDP (current US$),5.83E+12,5.70E+12,5.62E+12,4.74E+12,5.49E+12
Least developed countries: UN classification,LDC,GDP (current US$),1.10E+12,1.09E+12,1.14E+12,1.16E+12,1.27E+12
Low income,LIC,GDP (current US$),5.27E+11,4.54E+11,4.80E+11,4.81E+11,5.26E+11
Liechtenstein,LIE,GDP (current US$),6474256119,6692504346,6427248943,,
Sri Lanka,LKA,GDP (current US$),87428128124,87963042341,83902574443,80969683537,84518830393
Lower middle income,LMC,GDP (current US$),7.40E+12,7.54E+12,7.89E+12,7.59E+12,8.68E+12
Low & middle income,LMY,GDP (current US$),2.96E+13,3.13E+13,3.21E+13,3.09E+13,3.63E+13
Lesotho,LSO,GDP (current US$),2306185361,2514146888,2451257579,2250717718,2518468891
Late-demographic dividend,LTE,GDP (current US$),2.06E+13,2.26E+13,2.30E+13,2.25E+13,2.66E+13
Lithuania,LTU,GDP (current US$),47758736932,53750911866,54697379017,56546957475,65503849705
Luxembourg,LUX,GDP (current US$),65712180343,71285019397,70195715496,73353132794,86710803337
Latvia,LVA,GDP (current US$),30483806018,34429023435,34308783825,33645460617,38872546229
"Macao SAR, China",MAC,GDP (current US$),50440941939,55284360483,55204758070,25586111076,29905190182
St. Martin (French part),MAF,GDP (current US$),,,,,
Morocco,MAR,GDP (current US$),1.10E+11,1.18E+11,1.20E+11,1.15E+11,1.33E+11
Monaco,MCO,GDP (current US$),6431314957,7194024563,7383745662,6816219303,
Moldova,MDA,GDP (current US$),9669741744,11457443185,11971345003,11859730544,13679221333
Madagascar,MDG,GDP (current US$),13176313594,13614412551,14191911512,13225591804,14637400396
Maldives,MDV,GDP (current US$),4754175869,5300962660,5607762625,3742769967,4889666932
Middle East & North Africa,MEA,GDP (current US$),3.30E+12,3.46E+12,3.47E+12,3.11E+12,3.64E+12
Mexico,MEX,GDP (current US$),1.16E+12,1.22E+12,1.27E+12,1.09E+12,1.29E+12
Marshall Islands,MHL,GDP (current US$),213204100,221588900,239462200,244462400,248665600
Middle income,MIC,GDP (current US$),2.90E+13,3.08E+13,3.16E+13,3.04E+13,3.58E+13
North Macedonia,MKD,GDP (current US$),11307058382,12683070061,12606338449,12116981815,13879269152
Mali,MLI,GDP (current US$),15365713059,17070867578,17280250805,17465392779,19143741503
Malta,MLT,GDP (current US$),13505056442,15301279478,15719500921,14917038504,17189730470
Myanmar,MMR,GDP (current US$),61449392056,67144725831,68697759361,78930257227,65067808985
Middle East & North Africa (excluding high income),MNA,GDP (current US$),1.46E+12,1.38E+12,1.39E+12,1.26E+12,1.46E+12
Montenegro,MNE,GDP (current US$),4856602179,5506944403,5542201151,4780722122,5809170962
Mongolia,MNG,GDP (current US$),11480847745,13178094459,14206359007,13312981595,15098022829
Northern Mariana Islands,MNP,GDP (current US$),1560000000,1302000000,1182000000,,
Mozambique,MOZ,GDP (current US$),13219079498,14845400593,15390031040,14028811072,16095828897
Mauritania,MRT,GDP (current US$),6800135962,7352533586,7889655284,7915985514,8227580740
Mauritius,MUS,GDP (current US$),13259351418,14181951059,14045808843,10926820603,11156657770
Malawi,MWI,GDP (current US$),8943543677,9880676219,11025370769,12172128470,12626718074
Malaysia,MYS,GDP (current US$),3.19E+11,3.59E+11,3.65E+11,3.37E+11,3.73E+11
