,country,cou_code,region,data_source,date_updated,total_vax,vax_1+,total_vax_rate,vax_1+_rate,full_vax,full_vax_rate,vax_used,vax_date,num_vax_types,boost_add_dose,boost_add_dose_rate
150,Niue,NIU,WPRO,REPORTING,2022-08-02,4180.0,1650.0,258.344,101.978,1436.0,88.752,Pfizer BioNTech - Comirnaty,2021-06-08,1.0,1094.0,67.614
151,North Macedonia,MKD,EURO,REPORTING,2022-10-09,1861953.0,854335.0,89.4,41.148,837932.0,40.358,"AstraZeneca - Vaxzevria,Beijing CNBG - BBIBP-CorV,Gamaleya - Gam-Covid-Vac,Moderna - Spikevax,Pfizer BioNTech - Comirnaty,Sinovac - CoronaVac,Wuhan CNBG - Inactivated",2021-02-17,7.0,161328.0,7.77
152,Northern Mariana Islands (Commonwealth of the),MNP,WPRO,REPORTING,2022-09-19,115886.0,46340.0,201.341,80.511,45046.0,78.263,"Janssen - Ad26.COV 2-S,Moderna - Spikevax,Pfizer BioNTech - Comirnaty",2020-12-19,3.0,24500.0,42.566
153,Norway,NOR,EURO,REPORTING,2022-10-16,11881760.0,4344292.0,221.4,80.936,4058588.0,75.613,"AstraZeneca - Vaxzevria,Janssen - Ad26.COV 2-S,Moderna - Spikevax,Pfizer BioNTech - Comirnaty",2020-12-23,4.0,2991787.0,55.738
154,occupied Palestinian territory,PSE,EMRO,REPORTING,2022-10-18,3748571.0,2012767.0,73.481,39.455,1776973.0,34.833,"AstraZeneca - Vaxzevria,Beijing CNBG - BBIBP-CorV,Bharat - Covaxin,CanSino - Convidecia,Gamaleya - Gam-Covid-Vac,Gamaleya - Sputnik-Light,Janssen - Ad26.COV 2-S,Moderna - Spikevax,Pfizer BioNTech - Comirnaty,Sinovac - CoronaVac",2021-02-02,10.0,336967.0,6.605
155,Oman,OMN,EMRO,REPORTING,2022-10-25,7086050.0,3257365.0,138.762,63.787,3048826.0,59.703,"AstraZeneca - Vaxzevria,Beijing CNBG - BBIBP-CorV,Bharat - Covaxin,CanSino - Convidecia,Gamaleya - Gam-Covid-Vac,Gamaleya - Sputnik-Light,Janssen - Ad26.COV 2-S,Moderna - Spikevax,Pfizer BioNTech - Comirnaty,SII - Covishield,Sinovac - CoronaVac",2020-12-29,11.0,779859.0,15.272
156,Pakistan,PAK,EMRO,REPORTING,2022-10-31,314087995.0,154441360.0,142.191,69.917,131262342.0,59.424,"AstraZeneca - Vaxzevria,Beijing CNBG - BBIBP-CorV,Bharat - Covaxin,CanSino - Convidecia,Gamaleya - Gam-Covid-Vac,Gamaleya - Sputnik-Light,Janssen - Ad26.COV 2-S,Moderna - Spikevax,Pfizer BioNTech - Comirnaty,SII - Covishield,Sinovac - CoronaVac",2021-02-03,11.0,46226871.0,20.927
157,Palau,PLW,WPRO,REPORTING,2022-09-06,50160.0,20094.0,277.25,111.066,18403.0,101.719,"Janssen - Ad26.COV 2-S,Moderna - Spikevax,Pfizer BioNTech - Comirnaty",2021-01-03,3.0,12856.0,71.059
158,Panama,PAN,AMRO,REPORTING,2022-10-28,8662543.0,3511315.0,200.765,81.379,3157799.0,73.186,"AstraZeneca - Vaxzevria,Pfizer BioNTech - Comirnaty",2021-01-20,2.0,1743751.0,40.414
159,Papua New Guinea,PNG,WPRO,REPORTING,2022-10-23,492326.0,357694.0,5.503,3.998,297814.0,3.329,"AstraZeneca - Vaxzevria,Beijing CNBG - BBIBP-CorV,Janssen - Ad26.COV 2-S,SII - Covishield",2021-03-30,4.0,28516.0,0.319
