,country,cou_code,region,data_source,date_updated,total_vax,vax_1+,total_vax_rate,vax_1+_rate,full_vax,full_vax_rate,vax_used,vax_date,num_vax_types,boost_add_dose,boost_add_dose_rate
218,United Republic of Tanzania,TZA,AFRO,REPORTING,2022-10-30,31047338.0,26392125.0,51.976,44.183,24524930.0,41.057,"Beijing CNBG - BBIBP-CorV,Janssen - Ad26.COV 2-S,Pfizer BioNTech - Comirnaty",2021-07-28,3.0,,
219,United States of America,USA,AMRO,REPORTING,2022-10-28,629073496.0,262914024.0,190.051,79.43,224185029.0,67.729,"Janssen - Ad26.COV 2-S,Moderna - Spikevax,Novavax-NUVAXOVID,Pfizer BioNTech - Comirnaty",2020-12-14,4.0,110125673.0,33.27
220,Uruguay,URY,AMRO,REPORTING,2022-10-28,8744104.0,3001907.0,251.721,86.417,2894080.0,83.313,"AstraZeneca - Vaxzevria,Pfizer BioNTech - Comirnaty,Sinovac - CoronaVac",2021-02-27,3.0,2064398.0,59.429
221,Uzbekistan,UZB,EURO,REPORTING,2022-10-09,69218586.0,21037140.0,206.8,62.855,17201955.0,51.396,"Anhui ZL - Zifivax,Gamaleya - Gam-Covid-Vac,Gamaleya - Sputnik-Light,Moderna - Spikevax,Pfizer BioNTech - Comirnaty,SII - Covishield,Sinovac - CoronaVac,Unknown Vaccine",2021-04-28,8.0,14334007.0,42.827
222,Vanuatu,VUT,WPRO,REPORTING,2022-08-28,292146.0,144290.0,95.117,46.978,131300.0,42.749,"AstraZeneca - Vaxzevria,Beijing CNBG - BBIBP-CorV,Janssen - Ad26.COV 2-S",2021-06-02,3.0,16556.0,5.39
223,Venezuela (Bolivarian Republic of),VEN,AMRO,REPORTING,2022-10-28,37860994.0,22157232.0,133.145,77.92,14287370.0,50.244,"Beijing CNBG - BBIBP-CorV,CIGB - CIGB-66,Finlay - Soberana-02,Gamaleya - Gam-Covid-Vac,Gamaleya - Sputnik-Light,Sinovac - CoronaVac",2021-02-22,6.0,651502.0,2.291
224,Viet Nam,VNM,WPRO,REPORTING,2022-10-20,261059430.0,90044496.0,268.197,92.506,84433722.0,86.742,"AstraZeneca - Vaxzevria,Beijing CNBG - BBIBP-CorV,CIGB - CIGB-66,Gamaleya - Gam-Covid-Vac,Moderna - Spikevax,Pfizer BioNTech - Comirnaty",2021-03-08,6.0,56250109.0,57.788
225,Wallis and Futuna,WLF,WPRO,REPORTING,2022-07-26,16782.0,6592.0,149.226,58.616,6989.0,62.147,Moderna - Spikevax,2021-03-19,1.0,3201.0,28.463
226,Yemen,YEM,EMRO,REPORTING,2022-10-30,1145868.0,914722.0,3.842,3.067,676019.0,2.267,"AstraZeneca - Vaxzevria,Beijing CNBG - BBIBP-CorV,Bharat - Covaxin,CanSino - Convidecia,Gamaleya - Gam-Covid-Vac,Gamaleya - Sputnik-Light,Janssen - Ad26.COV 2-S,Moderna - Spikevax,Pfizer BioNTech - Comirnaty,SII - Covishield,Sinovac - CoronaVac",2021-04-20,11.0,54985.0,0.184
227,Zambia,ZMB,AFRO,REPORTING,2022-10-30,13055448.0,10611599.0,71.015,57.722,8143760.0,44.298,"Beijing CNBG - BBIBP-CorV,Janssen - Ad26.COV 2-S,SII - Covishield",2021-04-14,3.0,967569.0,5.263
228,Zimbabwe,ZWE,AFRO,REPORTING,2022-10-16,12622764.0,6542794.0,84.928,44.021,4902925.0,32.988,"Beijing CNBG - BBIBP-CorV,Bharat - Covaxin,Gamaleya - Gam-Covid-Vac,Sinovac - CoronaVac",2021-02-18,4.0,1177045.0,7.919
